,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
4424.934,91.0056,2.5407,3.0874,3.4165,3.5313,3.5212,72.1593,2.5228,-0.0487,16.9345,LIS_003,Itajai-Açu e Ilha Bela
4425.0864,90.8173,2.5497,3.0931,3.4189,3.5345,3.5244,71.8867,2.5177,-0.0431,17.3127,LIS_003,Itajai-Açu e Ilha Bela
4425.2388,89.8845,2.5122,3.0445,3.3631,3.4775,3.4673,72.1095,2.5093,-0.0327,17.5931,LIS_003,Itajai-Açu e Ilha Bela
4425.3912,87.6639,2.4354,2.9489,3.2576,3.3693,3.3592,72.5465,2.4979,-0.0275,17.42,LIS_003,Itajai-Açu e Ilha Bela
4425.5436,86.0144,2.3586,2.8537,3.1537,3.2632,3.2534,72.8452,2.4863,-0.0291,17.2357,LIS_003,Itajai-Açu e Ilha Bela
4425.696,86.1005,2.3088,2.7919,3.0874,3.1967,3.1873,72.8394,2.4777,-0.0342,17.1967,LIS_003,Itajai-Açu e Ilha Bela
4425.8484,86.077,2.2797,2.7562,3.0499,3.1607,3.1518,72.5558,2.474,-0.0398,17.1418,LIS_003,Itajai-Açu e Ilha Bela
4426.0008,85.0931,2.2544,2.7249,3.0172,3.1303,3.1221,72.1677,2.4753,-0.0395,17.0379,LIS_003,Itajai-Açu e Ilha Bela
4426.1532,84.9742,2.2299,2.6941,2.9853,3.1014,3.094,71.8761,2.4784,-0.0305,17.232,LIS_003,Itajai-Açu e Ilha Bela
4426.3056,86.654,2.2199,2.6816,2.9741,3.0946,3.088,71.8177,2.4804,-0.0223,17.5536,LIS_003,Itajai-Açu e Ilha Bela
4426.458,87.8995,2.239,2.7078,3.0069,3.1336,3.128,72.0674,2.485,-0.0206,17.6545,LIS_003,Itajai-Açu e Ilha Bela
4426.6104,87.0402,2.2868,2.7738,3.0849,3.22,3.2153,72.5817,2.497,-0.0217,17.4899,LIS_003,Itajai-Açu e Ilha Bela
4426.7628,85.9658,2.3477,2.8595,3.1853,3.3296,3.326,73.1957,2.5135,-0.0248,17.2642,LIS_003,Itajai-Açu e Ilha Bela
4426.9152,86.6864,2.4039,2.9386,3.2781,3.4307,3.4282,73.7026,2.5246,-0.0295,17.1859,LIS_003,Itajai-Açu e Ilha Bela
4427.0676,88.2207,2.4356,2.9821,3.3297,3.488,3.4867,73.9055,2.5241,-0.0316,17.4859,LIS_003,Itajai-Açu e Ilha Bela
4427.22,88.6563,2.4309,2.9742,3.3223,3.4823,3.4822,73.7264,2.5154,-0.0299,18.1052,LIS_003,Itajai-Açu e Ilha Bela
